task,occupation,company_count,company
Advise retail establishments on development of loss-investigation procedures.,Loss Prevention Managers,69,"AutoComputer; Ambient.ai; PandasAI; Alterya; Shape; Orbiter; Brewit; Conntour; Roundtable; Sidenote; MarketBrief; Velos; Vendora; outloud.ai; Stellar; AvairSense; Stack AI; Truora; Sift; autone; Traces; Vespper; Aura Vision; Friday; Motion; Anasen; MarqVision; CambioML; edgetrace; Corgi Labs; Lumina; Corvus Robotics; Upfort; Clara Labs; Credal.ai; Estimote, Inc.; Berbix; Retape; Tenyks; camelAI; Raven; Taktile; Powerhouse AI; Dev Tools AI; Spade; RADAR; Basepilot; Tergle; Autotab; Prayas Analytics; Protex AI; SprintAI; Defog.ai; AmberBox Gunshot Detection; Mashgin; Carbic; Redbird; Harper; Observant AI; Focal Systems; Vaero; FirstIgnite; Verihubs; Rulebase; ApolloShield; Stamp; Inkling; Next Caller; Overwatch"
"Advise retail managers on compliance with applicable codes, laws, regulations, or standards.",Loss Prevention Managers,71,"Estimote, Inc.; AutoComputer; Ambient.ai; PandasAI; Alterya; Shape; Orbiter; Brewit; Conntour; Roundtable; Sidenote; MarketBrief; Velos; Vendora; outloud.ai; Stellar; AvairSense; Stack AI; Truora; Sift; autone; Traces; Vespper; Aura Vision; Friday; Motion; Anasen; MarqVision; CambioML; edgetrace; RiskCube; Corgi Labs; Lumina; Telivy; Corvus Robotics; Credal.ai; Upfort; Clara Labs; Berbix; Retape; Tenyks; camelAI; Raven; Taktile; Powerhouse AI; Dev Tools AI; Spade; RADAR; Basepilot; Tergle; Autotab; Prayas Analytics; Protex AI; SprintAI; Defog.ai; AmberBox Gunshot Detection; Mashgin; Carbic; Redbird; Harper; Observant AI; Focal Systems; Vaero; FirstIgnite; Verihubs; Rulebase; ApolloShield; Stamp; Inkling; Next Caller; Overwatch"
Advise students on academic and vocational curricula and career issues.,"Business Teachers, Postsecondary",42,GradeWiz; Type; Archbee; Diffusion Studio; ClassroomIQ; Taskade; Remy; HUD; Dropbox; Fluently; Flint; Vizy; Pumpkin; Wordware; Alieo Games; Thorntale; Anasen; Storyline; Miyagi Labs; Slidely AI; Clara Labs; Dexterity; Edexia; Martin; NoRedInk; Cue; Namecard.ai; Warpdrive by Synthetic Minds; et al.; Zapi; Shepherd; Clueso; Moots AI; Focus Buddy; VibeGrade; InstaGrok; Pragmatic Leaders (Ankai Inc); Sense Education; Alice.tech; Vaero; Pair AI; Studdy
Advise students on academic and vocational curricula and on career issues.,"Physics Teachers, Postsecondary",31,Prolific; Remy; HUD; Akiflow; Innate; Dropbox; MailTime; Phind; Flint; Vizy; Thorntale; Friday; phospho; Miyagi Labs; Clara Labs; Dexterity; Zuni; Cue; Andi; et al.; Shepherd; InstaGrok; Vizly; Willow; Carousel Technologies; Sense Education; Paperspace; Khoj; Lamin; Pair AI; TamLabs
"Allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles.",Editors,93,Gauge; Forage Mail; Diffusion Studio; LinkGrep; Jasper.ai; Parsewise; Poly; Quivr; Remy; Stellar; Makeasite; Moonglow; Pumpkin; sync.; Friday; Hatch; CambioML; Paradigm; Mosaic; AIVideo.com; Ardis AI; Meta; Wondercraft; Focus Buddy; Dubjoy; SciPhi; Stamp; TamLabs; Chute; Xobni; MarketBrief; Speechly; Dropbox; Repacket; Iambiq Technologies; Clara Labs; Glimmer; Dexterity; Opearlo; Andi; BoldVoice; et al.; Zapi; Snapjoy; Willow; Happenstance; Superagent; Khoj; Mosaix.ai; Taskade; Askdata; Capitol AI; MailTime; Phind; Vizy; Aedilic; Niles; Tasker AI; Melty; edgetrace; Martin; Zuni; Dart; VectorShift; Cue; Dev Tools AI; Overlap; Typedream; Quetzal; Omni; Artificial Societies; Playground; Shape; HUD; Akiflow; Lumona; PearAI; Artemis Search; Den; Heroic Story; LazyEditor; SPATE; Whirlscape; Chonkie; Basepilot; AthenaHQ; Codec; expand.ai; Parsagon; Aesthetic; Browser Use; PocketPod; Decohere
Alter or modify designs to obtain specified functional or operational performance.,Automotive Engineers,72,"Dalus; Cruise; PandasAI; Parsewise; Hypermile; Sensei; Ridecell; HUD; Mars Auto; Tailor-ED; Draftaid; Robby Technologies; Dream3D; Coulomb AI; Metalware; Leeroo; Rescale; Vizy; Vespper; Bilanc; Maya Labs; Segments.ai; Playment; Layerup; Tasker AI; Elessar; The Forecasting Company; CambioML; Lynx; camfer; Paradigm; Clara Labs; Lune; Phiar; Adam; numericcal, inc.; Zendar; Flux Auto; Tenderd; Sift Dev; Peppr AI; Keeling Labs; Sculpt; Dev Tools AI; Taktile; Hestus, Inc.; Warpdrive by Synthetic Minds; May Mobility; et al.; Dime; Klavis AI; Passenger AI; Industrial Next; Patchwork; SnapMagic; Zumo Labs; RoboTire; Faction; Vizly; Open Motors; Starsky Robotics; Carousel Technologies; Redbird; Macadamia; FirstIgnite; Javelin Robotics; Navier AI; Magic Loops; Bear Flag Robotics; Auro Robotics; Embark Trucks; Polymath Robotics"
"Analyze aerial photographs to detect and interpret significant military, industrial, resource, or topographical data.",Surveying and Mapping Technicians,45,Waypoint Transit; Mineflow; Sola; Mach9; StratumAI; Shape; truemetrics; Parsewise; Reprompt; Silurian; DigitalCarbon; HUD; Dream3D; Airmada; Pachama; Phind; Vizy; Pina Earth; Array Labs; Playment; LabelFlow; Elyos; Spark; CambioML; edgetrace; Paradigm; Clara Labs; EARTH AI; Gridware; Tenderd; CrowdAI; Zeitview; Dev Tools AI; Tile; Radical; KorrAI; Cogram; Carousel Technologies; Omni; Traverse Technologies; Astro; Neptyne; Matterport; Epsilla; Gecko Robotics
"Analyze and distill climate-related research findings to inform legislators, regulatory agencies, or other stakeholders.",Climate Change Policy Analysts,64,Guide Labs; Outerport; Bayes Impact; PandasAI; GreenTally; LinkGrep; Parsewise; Mintplex Labs; Turing College; Quivr; Insight Data Science; Askdata; Silurian; Remy; HUD; Birch Biosciences; Phind; Pachama; Cedalio; Vizy; Pina Earth; Artemis Search; Array Labs; Tasker AI; Iambiq Technologies; Melty; CambioML; Glimmer; Anara; MinusX; Slidely AI; Clara Labs; Pulse; Offstream; Ardis AI; Zeitview; Keeling Labs; Andi; Tile; Chonkie; et al.; Sarus; Julius; Radical; Focus Buddy; Jasmine Energy; KorrAI; Unravel Carbon; Simplifine; Vizly; Compose.ai; Parsagon; Carousel Technologies; Omni; Aidy; Superagent; Gaiascope; Traverse Technologies; Khoj; Lamin; SciPhi; Onyx; PowerX; Epsilla
Analyze and interpret data to increase the understanding of human social behavior.,Sociologists,61,Artificial Societies; Mito; Bayes Impact; Prolific; PandasAI; Shape; Parsewise; Brewit; Mintplex Labs; Turing College; Askdata; Versive; HUD; Tailor-ED; Yhat; Leeroo; Phind; Artemis Search; Thorntale; Tasker AI; Roe AI; CambioML; Anara; MinusX; Paradigm; SigOpt; Pulse; Outset; Swayable; Plexe; Ardis AI; Aftercare; Peppr AI; Andi; Basedash; IOMETE; Chonkie; Basepilot; et al.; Buster; Pretzel AI; Turntable; Superpowered AI; Julius; Sarus; expand.ai; Simplifine; Vizly; Conveo; Carousel Technologies; Redbird; Paperspace; Mercator; Superagent; Neptyne; Khoj; Undermind; Lamin; Onyx; Menza; Epsilla
"Analyze and interpret geological data, using computer software.","Geoscientists, Except Hydrologists and Geographers",73,Mineflow; StratumAI; Shape; Parsewise; Brewit; Mintplex Labs; Turing College; Askdata; Archil; InspectMind AI; Silurian; HUD; Tailor-ED; Dream3D; Airmada; Leeroo; Phind; Moonglow; PearAI; Artemis Search; Array Labs; Playment; Thorntale; Rescale; Spark; Roe AI; Tasker AI; CambioML; Clara Labs; Anara; MinusX; Paradigm; EARTH AI; Pulse; Iris Automation; Plexe; Tenderd; CrowdAI; Zeitview; Meta; Peppr AI; Andi; SchemeFlow; Dev Tools AI; Talc; Chonkie; et al.; Basepilot; Buster; Pretzel AI; Superpowered AI; Radical; Julius; IOMETE; KorrAI; Asteroid; Simplifine; Vizly; Carousel Technologies; Omni; Paperspace; Mercator; HyLight; Astro; Neptyne; Khoj; Undermind; Lamin; SciPhi; Onyx; Traverse Technologies; Epsilla; Gecko Robotics
"Analyze and interpret geological, geochemical, or geophysical information from sources, such as survey data, well logs, bore holes, or aerial photos.","Geoscientists, Except Hydrologists and Geographers",73,Mineflow; StratumAI; Shape; Parsewise; Brewit; Mintplex Labs; Turing College; Askdata; Archil; InspectMind AI; Silurian; HUD; Tailor-ED; Dream3D; Airmada; Leeroo; Phind; Moonglow; PearAI; Artemis Search; Array Labs; Playment; Thorntale; Rescale; Spark; Roe AI; Tasker AI; CambioML; Clara Labs; Anara; MinusX; Paradigm; EARTH AI; Pulse; Iris Automation; Plexe; Tenderd; CrowdAI; Zeitview; Meta; Peppr AI; Andi; SchemeFlow; Dev Tools AI; Talc; Chonkie; et al.; Basepilot; Buster; Pretzel AI; Superpowered AI; Radical; Julius; IOMETE; KorrAI; Asteroid; Simplifine; Vizly; Carousel Technologies; Omni; Paperspace; Mercator; HyLight; Astro; Neptyne; Khoj; Undermind; Lamin; SciPhi; Onyx; Traverse Technologies; Epsilla; Gecko Robotics
Analyze and interpret news and information received from various sources to broadcast the information.,"News Analysts, Reporters, and Journalists",46,Mosaix.ai; LinkGrep; Xobni; Parsewise; Mintplex Labs; Poly; MarketBrief; Remy; Aqua Voice; Speechly; Dropbox; MailTime; Phind; Vizy; Moonglow; PearAI; Niles; Friday; Pernell; Tasker AI; Iambiq Technologies; T3 Chat (prev. Ping.gg); CambioML; edgetrace; Dexterity; Martin; Zuni; Fathom; Ardis AI; Cue; Andi; Tetra; et al.; Basepilot; Zapi; Focus Buddy; Tavus; Compose.ai; Parsagon; Willow; Happenstance; Omni; Khoj; SciPhi; Stamp; Type
"Analyze and interpret patient, nursing, or information systems data to improve nursing services.",Health Informatics Specialists,195,CoreCare; Archbee; Chunkr; Glass Health; Entvin; Lifted; LinkGrep; Iona Mind; BrainKey; Bot MD; Bodyport; Cero; voize; Cofactor Genomics; Mocha; Digistain; HyperGlue; Vibe; WorkDone; Clinikally; Leeroo; Ember; Friday; Amby Health; CambioML; Andy AI; Akido Labs; Credal.ai; Tuva Health; Curacel; Ardis AI; Argovox; Health Harbor; Blyss; Serinus Biosciences; SafeBeat; StarJar; Neosync; Cambridge Cancer Genomics; Superpowered AI; Sample; Makani Science; Deepgram; Slingshot; Helpcare AI; Kairo Health; AlgoSurg Inc; RedBrick AI; Paratus Health; SciPhi; MicroHealth; Perlara; Jestor; Epsilla; Lume; AutoComputer; Attunement; Solum Health; Isabl; Eloquent AI; Rada; Redouble AI; Momo Medical; Medicare Vox (fka Fair Square); Workflow86; Certainly Health; mdhub; Orchid; Verge Genomics; Scanbase; Clearest Health; iSono Health; Athelas; Human Dx; Output Biosciences; Cenote; Zero Health; Glimmer; HypaHub; Zeta Surgical; Iambiq Technologies; Taylor AI; Arintra; Olio Labs; Peppr AI; Klarismo; Tile; Talc; et al.; Legion Health; HealthKey; Baseline AI; Cairns Health; Asteroid; Compose.ai; Osmind; Vera Health; CombineHealth; Khoj; FirstIgnite; Spect; YouShift; Asha Health; Sohar Health; Guide Labs; Elythea; Shift Health; Qventus; Askdata; Astrix Health; Medigram; Miracle; Tailor-ED; Empirical Health; Memora Health; Phind; Farmako Healthcare; Nectome; Ponder; G LNK; AgileMD; MindPortal; RiskAngle; Taktile; Joon Health; Latent; Segmed; Sequence Bio; Bunkerhill Health; MentalHappy; Warpdrive by Synthetic Minds; Fuse; Kabilah; Query Vary; MediSearch; Vizly; Tavus; Opkit; Substrate; Omni; Redbird; Probably Genetic; Bayes Impact; Ankr Health; Decoda Health; Adni; Gluetrail; SelectIQ; Triomics; Tire Swing; Swades AI; Clarion; Haplotype Labs; Shape; Rejoy Health; Insight Data Science; Knowtex; Pharos; HUD; Parallel; Lamar Health; Copper Health; Stream; Delve; RTHM; Sepsis Scout; Tennr; MICSI; Harbera; Den; SnapCalorie; Known Medicine; PicnicHealth; Quadrant Eye; Mederva Health; FutureClinic; Nyckel; Medumo; Hey Revia; Codes Health; InnaMed; Chonkie; Basepilot; Call9; SimCare AI; Sully.ai; Delineate; Undermind; Lamin; Caire Health; Guardian AI; Bemlo; Fairway Health; Luminai; WhiteLab Genomics
Analyze and interpret statistical data to identify significant differences in relationships among sources of information.,Statisticians,179,"Mito; Bayes Impact; Upsolve AI; General Analysis; Zeit AI; Turing College; Verak; Cellbyte; Abalone Bio; Dartboard Energy; Coulomb AI; Algoriz; Coblocks; Leeroo; Trellis; Moonglow; Riveter AI; Hudson Labs (formerly Bedrock AI); CambioML; Paradigm; inBalance; Tuva Health; Harmonic Discovery; Swayable; Metofico; May Mobility; Spade; Inevitable Tech; Pretzel AI; Buster; Neosync; Cambridge Cancer Genomics; Unravel Carbon; TrainLoop; Dot; Operand; Mercator; Benchmark; Centauri AI; Secoda; Inscribe; Dataherald; Perlara; Overwatch; 1910 Genetics; Cruise; Unsloth AI; Medicare Vox (fka Fair Square); Verge Genomics; Clearest Health; autone; Tydo; Magicflow 𐂂; VantedgeAI; Narrative; WeatherCheck; Output Biosciences; HypaHub; Corgi Labs; SigOpt; Atmo; Aquarium Learning; Tejas AI; Olio Labs; Aftercare; Freshplum; finbar; Spiral Genetics; Tile; Talc; et al.; Sarus; Pit.AI; Maitai; TigerEye; Athina AI; Neptyne; FirstIgnite; Lavo Life Sciences; TensorPool; Guide Labs; Optilly/Installmonetizer; PandasAI; Brewit; BeGo; Askdata; Archil; Miracle; Eventual; Tailor-ED; Patterns; AfterQuery; Relativity Space; Monterey AI; Soteris; Tasker AI; Melty; Medium Biosciences; MindsDB; Plexe; ClearBrain; camelAI; MindPortal; Demeter; Segmed; Taktile; PostEra; Sequence Bio; Bunkerhill Health; GEn1E Lifesciences; IvyCheck; Macromoltek; Atomwise; Simplifine; Vizly; Probably Genetic; Arthena; Carbic; Redbird; Gaiascope; NeoWize; Ontra Mobility; Bayesline; Elevate; Intelligent; Pibit.ai; Artificial Societies; Swades AI; Findly; Strong Compute; Nanograb; Roundtable; Insight Data Science; Turing Labs Inc.; Vendora; Silurian; Corgi; Versive; Cotera; HUD; Guac; Anakin; Nabla Bio; Yhat; Exosonic, Inc.; Known Medicine; PicnicHealth; Marft; nao Labs; The Forecasting Company; RiskCube; Anara; MinusX; Framed Data; Evolvere BioSciences; Sepal AI; AlphaWatch AI; Valora; Keeling Labs; Basedash; Datrics; Bindwell; IOMETE; Julius; KorrAI; Faction; iollo; Delineate; Carousel Technologies; Paperspace; OpenMeter; Smarking; Undermind; Lamin; Rollstack; NextDrop; Menza; Two Dots; Inkling"
Analyze and maintain data logs for audio-visual activities.,Audio and Video Technicians,19,Chute; Poly; Uberduck; DigitalCarbon; Moonglow; PearAI; Magic Hour; T3 Chat (prev. Ping.gg); Clara Labs; edgetrace; Remade; Meta; Dev Tools AI; Overlap; Wondercraft; Pulpix; Codec; Sieve; Decohere
"Analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use.",Water/Wastewater Engineers,38,Waypoint Transit; InspectMind AI; Silurian; Draftaid; UpCodes; Nextera Robotics; Dropbox; Leeroo; Precip; Moonglow; Bilanc; Rescale; Spark; Elessar; Tasker AI; Hatch; Glimmer; Clara Labs; Offstream; Tenderd; DigiBuild; Zeitview; SchemeFlow; et al.; Patchwork; KorrAI; Cogram; Merlin AI; Carbic; Paperspace; Provision; Traverse Technologies; Macadamia; Lamin; NextDrop; PowerX; Pirros; Gecko Robotics
"Analyze and record test data to issue reports that use charts, graphs, or narratives.",Medical and Clinical Laboratory Technicians,29,Shift Health; Haplotype Labs; Isabl; Parsewise; Redouble AI; Rejoy Health; Cofactor Genomics; Medigram; Digistain; RTHM; Scanbase; PearAI; Athelas; Known Medicine; Friday; Zero Health; Glimmer; Akido Labs; Biodock; Reshape Biotech; Bunkerhill Health; Dev Tools AI; InnaMed; Talc; Basepilot; SimCare AI; Asteroid; Adni; Zeon Systems
Analyze and report computer network security breaches or attempted breaches.,Computer Network Support Specialists,65,"Parity; Nimbus; Cohere; Tracecat; LineWise; Roundtable; Clearly AI; ContraForce; Vendora; Keyri; Entangl; Tailor-ED; Castle; Delve; Tinfoil; Bankjoy; Vizy; Unthread; Vespper; Den; Repacket; Elyos; Friday; Layerup; Niles; Lynx; Cyble; Clara Labs; Upfort; Lumina; Estimote, Inc.; Credal.ai; Lune; VoxOps AI; CyberFend; HumanLayer; Flux Auto; ZeroEntropy; Sift Dev; Dart; Andi; Plivo; Traversal Networks; Doctor Droid; Middleware; Warpdrive by Synthetic Minds; Basepilot; QueryPie; Passenger AI; PayCrunch; Keep; Risotto; Salt Security; Retell AI; Omni; Dataland; Wild Moose; MedCrypt; Confident AI; FirstIgnite; Onyx; Magic Loops; Gluetrail; Palifer; Next Caller"
"Analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans.",Loan Officers,109,Salient; Extend; Parsewise; Docsum; Zeit AI; Veriff; Rabbet; Leeroo; Melder; Trellis; Dialect; Wattson Health; Hatch; CambioML; Paradigm; Pulse; Handl; Trébol; Ardis AI; Spade; Winford Wealth; Senso; Lysto; SciPhi; Inscribe; Trace; Stamp; Epsilla; Next Caller; AutoComputer; Sola; Reducto; Redouble AI; Authologic; Kastle; amiloz; dili; Truora; Fluently; Bankjoy; Pernell; Anasen; Iambiq Technologies; Clara Labs; Glimmer; Dexterity; Plutto; Tejas AI; Fathom; Airweave; Tile; Casca; Asteroid; Willow; Superagent; FirstIgnite; Onyx; Klarity; Fintelite; Feather; PandasAI; CopyCat; Brewit; Mintplex Labs; General Agency; Sidenote; Askdata; Velos; Aqua Voice; CreatorOS; MailTime; Patterns; Approval AI; Elyos; Tasker AI; Symphony; Finosu; Zuni; Dev Tools AI; Dojah Inc; Axle; Orbio Earth; Autotab; Accend; Outerport; Shape; HUD; Flair Labs; Stack AI; OmniAI; Heron Data; Simple AI; The Forecasting Company; Onward; AviaryAI; NanoNets; Paperplane; Valora; AlphaWatch AI; Basedash; Datrics; Basepilot; Arva AI; Baubap; Defog.ai; Carousel Technologies; Rollstack; Two Dots; Luminai
"Analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates.",Cost Estimators,79,Waypoint Transit; Langdock; Zeit AI; Mentum; Rabbet; Leeroo; Plume; Motion; CambioML; Paradigm; Tiny; Credal.ai; kater.ai; GoLinks; Dot; Cogram; Handoff; Traverse Technologies; Spinach AI; Dataherald; AutoComputer; Sola; Speedy Labs; Sennu AI; Fluently; SalesPatriot; BotBuilt; Anasen; GovEagle; Clara Labs; Odo; Peppr AI; Provision; Neptyne; FirstIgnite; Onyx; WeReno; Drillbit; Karmen; PandasAI; Brewit; Mintplex Labs; General Agency; Askdata; Velos; Pave Robotics; Govly; Patterns; Relativity Space; Bild AI; Tasker AI; camelAI; DigiBuild; Aether Energy; Taktile; Autotab; Vizly; Redbird; Palifer; Findly; Shape; Turing Labs Inc.; Powerdocs; HUD; The Forecasting Company; RMFG; Dashdive; Concourse; Valora; AlphaWatch AI; Sculpt; Basedash; Datrics; Basepilot; Julius; Manaflow; Merlin AI; Carousel Technologies; Inkling
"Analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs.",Architectural and Civil Drafters,36,Waypoint Transit; Extend; Forage Mail; Mach9; Parsewise; DigitalCarbon; Draftaid; UpCodes; Dream3D; Fluently; Bild AI; Bilanc; Plume; Layerup; Spark; Elessar; BotBuilt; CambioML; Glimmer; camfer; Tasker AI; Hatch; Tenderd; TANGObuilder; Auctor; Chonkie; et al.; Material Depot; Patchwork; KorrAI; Cogram; Provision; Macadamia; Matterport; Pirros; ArchiLabs
"Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",Accountants and Auditors,122,"Greenboard; Extend; Orbiter; Parsewise; Docsum; Zeit AI; Dimely; Tesorio; Melder; Trellis; Moonglow; Trueplace; Fazeshift; CambioML; Paradigm; Finnt; Pulse; Credal.ai; BotCity; Handl; kater.ai; Buster; Dot; Alaan; Centauri AI; SciPhi; Dataherald; Epsilla; AutoComputer; Xobni; Eloquent AI; Reducto; Redouble AI; MarketBrief; Speedy Labs; dili; Aldara; Callback; Anasen; Sway Finance; Iambiq Technologies; Slidely AI; Glimmer; Clara Labs; Greenlite; Peppr AI; Tile; TigerEye; Veryfi, Inc.; Asteroid; Willow; Zen99; Superagent; CombineHealth; Neptyne; FirstIgnite; Caribou; Onyx; TripleZip; Klarity; Clarum; Pax; Lighthouz AI; Sphere; PandasAI; Brewit; General Agency; Agentive; Askdata; Velos; Leena AI; Patterns; Bluebook; Shiboleth; Truewind; Tasker AI; LedgerUp; camelAI; Agentin AI; Midship; Autotab; Vizly; Redbird; Blue Onion; Accend; HOAi; Elevate; Outerport; SPRX; Mesh; Findly; Shape; Tabular; Soraban; HUD; Stack AI; Delve; Finlens; Mindee; Pyq AI; The Forecasting Company; TaxGPT; NanoNets; Concourse; Brex; Respaid; Glimpse; Valora; AlphaWatch AI; Basedash; Datrics; Basepilot; Tergle; Merlin AI; Defog.ai; Parsagon; Carousel Technologies; Rollstack; JustPaid.ai; Menza; ElectroNeek; Luminai"
